Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
015-135-00-0,profenofos (ISO); O-(4-bromo-2-chlorophenyl) O-ethyl S-propyl phosphorothioate,41198-08-7,H332 | H312 | H302 | H400 | H410 |,M=1000 |
015-136-00-6,trans-isopropyl-3-[[(ethylamino)methoxyfosfinothioyl]oxy]crotonate; isopropyl 3-[[(ethylamino)methoxyphosphinothioyl]oxy]isocrotonate; propetamphos (ISO),31218-83-4,H301 | H400 | H410 |,M=100 |
015-138-00-7,"quinalphos (ISO); O,O-diethyl-O-quinoxalin-2-yl phosphorothioate",13593-03-8,H301 | H312 | H400 | H410 |,M=1000 |
015-139-00-2,"terbufos (ISO); S-tert-butylthiomethyl O,O-diethylphosphorodithioate",13071-79-9,H310 | H300 | H400 | H410 |,M=1000 |
015-140-00-8,"triazophos (ISO); O,O-diethyl-O-1-phenyl-1H-1,2,4-triazol-3-yl phosphorothioate",24017-47-8,H331 | H301 | H312 | H400 | H410 |,M=100 |
015-186-00-9,"chlorpyrifos-methyl (ISO),; O, O-dimethyl O-3,5,6-trichloro-2-pyridyl phosphorothioate",5598-13-0,H317 | H400 | H410 |,M=10000 |
016-084-00-7,"prosulfuron (ISO); 1-(4-methoxy-6-methyl-1,3,5-triazin-2-yl)-3-[2-(3,3,3-trifluoropropyl)phenylsulfonyl]urea",94125-34-5,H302 | H400 | H410 |,M=100 |
016-096-00-2,"thifensulfuron-methyl (ISO); | methyl 3-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)thiophene-2-carboxylate",79277-27-3,H400 | H410 |,M=100 | M=100 |
016-098-00-3,dimethyl disulphide,624-92-0,H225 | H331 | H301 | H336 | H370 (upper respiratory tract) (Inhalation) | H319 | H317 | H400 | H410 |,Inhalation: ATE = 5 mg/L (Vapours) | Oral: ATE = 190 mg/kg bw | M=1 | M=10 |
017-001-00-7,chlorine,7782-50-5,H270 |  | H331 | H335 | H315 | H319 | H400 |,M=100 |
017-011-00-1,"sodium hypochlorite, solution ... % Cl active",7681-52-9,H314 | H318 | H400 | H410 |,EUH031: C ≥ 5 % | M=10 | M=1 |
017-012-00-7,calcium hypochlorite,7778-54-3,H272 | H302 | H314 | H400 |,"Skin Corr. 1B; H314: C ≥ 5 % | Skin Irrit. 2; H315: 1 % ≤ C < 5 % | Eye Dam. 1; H318: 3 % ≤ C < 5 % | Eye Irrit. 2; H319: 0,5 % < C < 3 % | M=10 |"
017-026-00-3,chlorine dioxide,10049-04-4,H270 |  | H330 | H314 | H400 |,M=10 |
017-026-01-0,chlorine dioxide … %,10049-04-4,H301 | H314 | H400 |,"STOT SE 3; H335: C ≥ 3 % | Skin Corr. 1B; H314: C ≥ 5 % | Skin Irrit. 2; H315: 1 % ≤ C < 5 % | Eye Dam. 1; H318: 3 % ≤ C < 5 % | Eye Irrit. 2; H319: 0,3 % ≤ C < 3 % | M=10 |"
027-002-00-4,cobalt oxide,1307-96-6,H302 | H317 | H400 | H410 |,M=10 |
027-003-00-X,cobalt sulfide,1317-42-6,H317 | H400 | H410 |,M=10 |
